scale,window_mode,seed,window_start,window_size,gap_count,counterexample_count,match_rate,max_gap,min_score_margin,runtime_seconds
100000000,even-window,,2,2000000,134060,0,1.0,132,5.000346270378486e-07,2.5433969840000827
100000000,even-window,,32666669,2000000,106383,0,1.0,160,2.8846294242157455e-08,2.3218264270001328
100000000,even-window,,65333335,2000000,103111,0,1.0,160,1.485165768144725e-08,2.196266352000066
100000000,even-window,,98000002,2000000,100579,0,1.0,176,1.0000015038258425e-08,2.1160487749998538
100000000,seeded-window,20260331,34722677,2000000,106182,0,1.0,182,2.7231301658048324e-08,2.1804791380000097
100000000,seeded-window,20260331,40244742,2000000,105498,0,1.0,168,2.367199058994629e-08,2.1693646260000605
100000000,seeded-window,20260331,61367852,2000000,103235,0,1.0,164,1.5780891260419594e-08,2.137494525999955
100000000,seeded-window,20260331,91267027,2000000,101076,0,1.0,180,1.072191579964965e-08,2.130811989999984
100000000,seeded-window,20260401,47696065,2000000,104516,0,1.0,164,2.0122662647281686e-08,2.1931968500000494
100000000,seeded-window,20260401,47906034,2000000,104512,0,1.0,164,2.003771015779421e-08,2.195246379000082
100000000,seeded-window,20260401,75797802,2000000,102003,0,1.0,150,1.2853906383725189e-08,2.139508388999957
100000000,seeded-window,20260401,90767558,2000000,101243,0,1.0,180,1.0779640291502801e-08,2.1608902330001456
1000000000,even-window,,2,2000000,134060,0,1.0,132,5.000346270378486e-07,2.5835595779999494
1000000000,even-window,,332666669,2000000,94945,0,1.0,180,2.988052472119307e-09,2.109280615999978
1000000000,even-window,,665333335,2000000,91975,0,1.0,192,1.498502655294942e-09,1.976108886999782
1000000000,even-window,,998000002,2000000,90177,0,1.0,190,1.000000082740371e-09,1.9868288709999433
1000000000,seeded-window,20260331,213175057,2000000,97125,0,1.0,184,4.647393581080905e-09,2.067511063999973
1000000000,seeded-window,20260331,353604395,2000000,94838,0,1.0,176,2.8121149853177485e-09,2.0464496089998647
1000000000,seeded-window,20260331,409839301,2000000,94220,0,1.0,224,2.4281305854856328e-09,2.121642402999896
1000000000,seeded-window,20260331,929433599,2000000,90758,0,1.0,236,1.0736123101651174e-09,1.9910410810000485
1000000000,seeded-window,20260401,485721147,2000000,93343,0,1.0,190,2.0503527764503815e-09,2.0418501359999937
1000000000,seeded-window,20260401,487859393,2000000,93270,0,1.0,186,2.041407043407162e-09,2.0453235760001007
1000000000,seeded-window,20260401,771900056,2000000,91379,0,1.0,178,1.2921574921165302e-09,2.003559989999985
1000000000,seeded-window,20260401,924347162,2000000,90776,0,1.0,212,1.0795062621582474e-09,1.9985314800001106
10000000000,even-window,,2,2000000,134060,0,1.0,132,5.000346270378486e-07,2.671632346000024
10000000000,even-window,,3332666669,2000000,85724,0,1.0,192,2.998774562001927e-10,2.0925476540001
10000000000,even-window,,6665333335,2000000,83190,0,1.0,210,1.4998491337792075e-10,1.9496531479999248
10000000000,even-window,,9998000002,2000000,81747,0,1.0,288,9.99982319171977e-11,2.021323860999928
10000000000,seeded-window,20260331,5668912407,2000000,83610,0,1.0,218,1.7633539073358406e-10,2.0097506209999665
10000000000,seeded-window,20260331,6260773265,2000000,83688,0,1.0,228,1.5967316358000971e-10,1.9631181419999848
10000000000,seeded-window,20260331,8492762769,2000000,82256,0,1.0,208,1.177191677470546e-10,1.9924064919998727
10000000000,seeded-window,20260331,9311099321,2000000,81821,0,1.0,236,1.0737366551438754e-10,1.954450541000142
10000000000,seeded-window,20260401,758718180,2000000,91522,0,1.0,234,1.314546693720331e-09,1.9797152189998997
10000000000,seeded-window,20260401,4865971967,2000000,84406,0,1.0,234,2.0542145762192376e-10,1.9557957669999269
10000000000,seeded-window,20260401,6696361206,2000000,83166,0,1.0,236,1.4928858149687585e-10,1.9214404469998954
10000000000,seeded-window,20260401,7732922602,2000000,82736,0,1.0,232,1.2928325077155023e-10,1.9746053410001423
100000000000,even-window,,2,2000000,134060,0,1.0,132,5.000346270378486e-07,2.603794814999901
100000000000,even-window,,33332666669,2000000,78092,0,1.0,252,2.999556159011263e-11,2.003695027000049
100000000000,even-window,,66665333335,2000000,75915,0,1.0,254,1.4999557151895715e-11,2.0469037670000034
100000000000,even-window,,99998000002,2000000,74706,0,1.0,268,9.99733629214461e-12,2.093630026000028
100000000000,seeded-window,20260331,56699330148,2000000,76370,0,1.0,232,1.7635670701565687e-11,2.046825561000105
100000000000,seeded-window,20260331,62619004284,2000000,76198,0,1.0,272,1.596589527252945e-11,2.0716535450001174
100000000000,seeded-window,20260331,84942917718,2000000,75587,0,1.0,232,1.177014041786606e-11,2.0608780589998332
100000000000,seeded-window,20260331,93127756534,2000000,74947,0,1.0,238,1.0736300737335114e-11,2.0413478949999444
100000000000,seeded-window,20260401,7588547749,2000000,82662,0,1.0,204,1.3174172863728018e-10,1.9449039329999778
100000000000,seeded-window,20260401,48668480158,2000000,76824,0,1.0,236,2.0545343204503297e-11,2.029144008000003
100000000000,seeded-window,20260401,66975667915,2000000,75926,0,1.0,254,1.4928502878319705e-11,2.024652461000187
100000000000,seeded-window,20260401,77343148061,2000000,75611,0,1.0,250,1.2928325077155023e-11,1.99450990299988
1000000000000,even-window,,2,2000000,134060,0,1.0,132,5.000346270378486e-07,2.56042360299989
1000000000000,even-window,,333332666669,2000000,71656,0,1.0,256,2.9984903449076228e-12,2.291077094000002
1000000000000,even-window,,666665333335,2000000,69849,0,1.0,264,1.4992451724538114e-12,2.4816348480001125
1000000000000,even-window,,999998000002,2000000,68889,0,1.0,306,9.983125437429408e-13,2.6586757519999082
1000000000000,seeded-window,20260331,567003507559,2000000,70121,0,1.0,238,1.7621459846850485e-12,2.4951013490001515
1000000000000,seeded-window,20260331,626201314473,2000000,69834,0,1.0,270,1.595168441781425e-12,2.45165774599991
1000000000000,seeded-window,20260331,849444467205,2000000,69332,0,1.0,288,1.1759482276829658e-12,2.5266757150000103
1000000000000,seeded-window,20260331,931294328669,2000000,68913,0,1.0,264,1.0729195309977513e-12,2.5426098380000894
1000000000000,seeded-window,20260401,75886843446,2000000,75654,0,1.0,356,1.3177015034671058e-11,2.0462835959999666
1000000000000,seeded-window,20260401,486693562068,2000000,70698,0,1.0,246,2.0534685063466895e-12,2.388248502000124
1000000000000,seeded-window,20260401,669768735002,2000000,70030,0,1.0,266,1.4921397450962104e-12,2.4623356990000502
1000000000000,seeded-window,20260401,773445402652,2000000,69396,0,1.0,256,1.2896350654045818e-12,2.5256669059999695
