p,w,q,r,S_plus_w,margin,gap_size,winner_offset,q_offset,closure_utilization,log_score_w,r2_minus_4,r2_minus_4_factors,r2_minus_2,r2_minus_2_factors,r2_minus_1,r2_minus_1_factors
38477129,38477139,38477203,6203,38477209,6,74,10,74,0.9142857142857143,-17.465574830685807,38477205,3^2 * 5 * 13 * 17 * 53 * 73,38477207,4079 * 9433,38477208,2^3 * 3 * 7 * 11 * 47 * 443
9406427,9406429,9406483,3067,9406489,6,56,2,56,0.9,-16.05690394963269,9406485,3^2 * 5 * 11 * 31 * 613,9406487,1063 * 8849,9406488,2^3 * 3 * 7 * 13 * 59 * 73
42863147,42863153,42863203,6547,42863209,6,56,6,56,0.8928571428571429,-17.573523110399588,42863205,3 * 5 * 7 * 11 * 17 * 37 * 59,42863207,199 * 215393,42863208,2^3 * 3 * 1091 * 1637
452873,452877,452923,673,452929,6,50,4,50,0.8846153846153846,-13.02337584441727,452925,3^3 * 5^2 * 11 * 61,452927,41 * 11047,452928,2^6 * 3 * 7 * 337
351599,351601,351643,593,351649,6,44,2,44,0.875,-12.770252288930184,351645,3 * 5 * 7 * 17 * 197,351647,23 * 15289,351648,2^5 * 3^3 * 11 * 37
47100719,47100721,47100763,6863,47100769,6,44,2,44,0.875,-17.667798866725107,47100765,3 * 5 * 1373 * 2287,47100767,7 * 103 * 65327,47100768,2^5 * 3 * 11 * 13 * 47 * 73
68773799,68773801,68773843,8293,68773849,6,44,2,44,0.875,-18.046333430962456,68773845,3 * 5 * 7 * 79 * 8291,68773847,4729 * 14543,68773848,2^3 * 3 * 11 * 13 * 29 * 691
72982801,72982807,72982843,8543,72982849,6,42,6,42,0.8571428571428571,-18.105734450825402,72982845,3^2 * 5 * 13 * 73 * 1709,72982847,7 * 10426121,72982848,2^6 * 3 * 89 * 4271
71690041,71690051,71690083,8467,71690089,6,42,10,42,0.8421052631578947,-18.087862537225092,71690085,3^2 * 5 * 941 * 1693,71690087,7^3 * 47 * 4447,71690088,2^3 * 3 * 17 * 29 * 73 * 83
28121771,28121773,28121803,5303,28121809,6,32,2,32,0.8333333333333334,-17.1520546741282,28121805,3^2 * 5 * 19 * 31 * 1061,28121807,7 * 743 * 5407,28121808,2^4 * 3 * 11 * 13 * 17 * 241
65399531,65399533,65399563,8087,65399569,6,32,2,32,0.8333333333333334,-17.99602567572915,65399565,3 * 5 * 7^2 * 11 * 8089,65399567,521 * 125527,65399568,2^4 * 3 * 13 * 311 * 337
619331,619334,619363,787,619369,6,32,3,32,0.8285714285714286,-13.336399986113497,619365,3 * 5 * 157 * 263,619367,7 * 23 * 3847,619368,2^3 * 3 * 131 * 197
27851,27857,27883,167,27889,6,32,6,32,0.8125,-10.234839560272293,27885,3 * 5 * 11 * 13^2,27887,79 * 353,27888,2^4 * 3 * 7 * 83
12020051,12020057,12020083,3467,12020089,6,32,6,32,0.8125,-16.302087229156598,12020085,3^2 * 5 * 7 * 11 * 3469,12020087,71 * 79 * 2143,12020088,2^3 * 3 * 17^2 * 1733
3051977,3051979,3052003,1747,3052009,6,26,2,26,0.8,-14.931300790628868,3052005,3 * 5 * 11 * 53 * 349,3052007,7 * 79 * 5519,3052008,2^3 * 3^2 * 19 * 23 * 97
4897337,4897339,4897363,2213,4897369,6,26,2,26,0.8,-15.404202554345211,4897365,3 * 5 * 11 * 67 * 443,4897367,23 * 71 * 2999,4897368,2^3 * 3^3 * 7 * 41 * 79
13667777,13667779,13667803,3697,13667809,6,26,2,26,0.8,-16.430551722932368,13667805,3^3 * 5 * 137 * 739,13667807,31 * 353 * 1249,13667808,2^5 * 3 * 7 * 11 * 43^2
17447291,17447299,17447323,4177,17447329,6,32,8,32,0.8,-16.674695409531974,17447325,3 * 5^2 * 7 * 167 * 199,17447327,31 * 71 * 7927,17447328,2^5 * 3^2 * 29 * 2089
49801217,49801219,49801243,7057,49801249,6,26,2,26,0.8,-17.72355001960695,49801245,3 * 5 * 13 * 17 * 83 * 181,49801247,47 * 113 * 9377,49801248,2^5 * 3^2 * 7^2 * 3529
2036299,2036301,2036323,1427,2036329,6,24,2,24,0.7857142857142857,-14.526645484625261,2036325,3 * 5^2 * 19 * 1429,2036327,727 * 2801,2036328,2^3 * 3 * 7 * 17 * 23 * 31
5841859,5841861,5841883,2417,5841889,6,24,2,24,0.7857142857142857,-15.580559968425261,5841885,3 * 5 * 7 * 23 * 41 * 59,5841887,1873 * 3119,5841888,2^5 * 3 * 13 * 31 * 151
7219939,7219941,7219963,2687,7219969,6,24,2,24,0.7857142857142857,-15.792357339090469,7219965,3 * 5 * 179 * 2689,7219967,479 * 15073,7219968,2^8 * 3 * 7 * 17 * 79
37613659,37613661,37613683,6133,37613689,6,24,2,24,0.7857142857142857,-17.442877866841854,37613685,3 * 5 * 409 * 6131,37613687,41 * 917407,37613688,2^3 * 3 * 7 * 73 * 3067
51940817,51940821,51940843,7207,51940849,6,26,4,26,0.7857142857142857,-17.765615570773992,51940845,3^4 * 5 * 11 * 89 * 131,51940847,7 * 7420121,51940848,2^4 * 3 * 17 * 53 * 1201
57501859,57501861,57501883,7583,57501889,6,24,2,24,0.7857142857142857,-17.867327870461228,57501885,3 * 5 * 7 * 19^2 * 37 * 41,57501887,191 * 301057,57501888,2^6 * 3 * 17 * 79 * 223
