scale,rule_id,shadow_seed_rows,top1_selected,top1_correct,top1_failures,top1_recall,audit_clean
1000000000000,first_visible_open,102,102,60,42,0.5882352941176471,False
1000000000000,first_distance_on_4m_plus_2,102,73,41,32,0.4019607843137255,False
1000000000000,first_closed_prefix_on_4m_plus_2,102,22,14,8,0.13725490196078433,False
1000000000000,first_both_ladders,102,6,4,2,0.0392156862745098,False
1000000000000000,first_visible_open,141,141,76,65,0.5390070921985816,False
1000000000000000,first_distance_on_4m_plus_2,141,103,55,48,0.3900709219858156,False
1000000000000000,first_closed_prefix_on_4m_plus_2,141,41,22,19,0.15602836879432624,False
1000000000000000,first_both_ladders,141,8,6,2,0.0425531914893617,False
1000000000000000000,first_visible_open,145,145,69,76,0.47586206896551725,False
1000000000000000000,first_distance_on_4m_plus_2,145,105,50,55,0.3448275862068966,False
1000000000000000000,first_closed_prefix_on_4m_plus_2,145,44,18,26,0.12413793103448276,False
1000000000000000000,first_both_ladders,145,12,6,6,0.041379310344827586,False
