scale,ceiling_id,selector_rule,shadow_seed_rows,recovered_q_before_ceiling_count,terminal_is_last_visible_before_ceiling_count,top1_selected,top1_correct,would_create_audit_failures,failure_mode_selected_too_early,failure_mode_selected_too_late,failure_mode_no_selection,projected_pgs_percent,promotion_eligible
1000000000000000,C_integer_square,S1_first_visible_before_ceiling,141,141,4,141,76,65,65,0,0,73.89558232931726,False
1000000000000000,C_integer_square,S2_last_visible_before_ceiling,141,141,4,141,4,137,0,137,0,44.97991967871486,False
1000000000000000,C_integer_square,S3_first_visible_after_ceiling,141,141,4,0,0,0,0,0,141,43.373493975903614,False
1000000000000000,C_integer_square,S4_visible_whose_successor_crosses_ceiling,141,141,4,141,4,137,0,137,0,44.97991967871486,False
1000000000000000,C_odd_square,S1_first_visible_before_ceiling,141,141,4,141,76,65,65,0,0,73.89558232931726,False
1000000000000000,C_odd_square,S2_last_visible_before_ceiling,141,141,4,141,4,137,0,137,0,44.97991967871486,False
1000000000000000,C_odd_square,S3_first_visible_after_ceiling,141,141,4,0,0,0,0,0,141,43.373493975903614,False
1000000000000000,C_odd_square,S4_visible_whose_successor_crosses_ceiling,141,141,4,141,4,137,0,137,0,44.97991967871486,False
1000000000000000,C_open_square,S1_first_visible_before_ceiling,141,141,4,141,76,65,65,0,0,73.89558232931726,False
1000000000000000,C_open_square,S2_last_visible_before_ceiling,141,141,4,141,4,137,0,137,0,44.97991967871486,False
1000000000000000,C_open_square,S3_first_visible_after_ceiling,141,141,4,0,0,0,0,0,141,43.373493975903614,False
1000000000000000,C_open_square,S4_visible_whose_successor_crosses_ceiling,141,141,4,141,4,137,0,137,0,44.97991967871486,False
1000000000000000000,C_integer_square,S1_first_visible_before_ceiling,145,145,11,145,69,76,76,0,0,69.6,False
1000000000000000000,C_integer_square,S2_last_visible_before_ceiling,145,145,11,145,11,134,0,134,0,46.400000000000006,False
1000000000000000000,C_integer_square,S3_first_visible_after_ceiling,145,145,11,0,0,0,0,0,145,42.0,False
1000000000000000000,C_integer_square,S4_visible_whose_successor_crosses_ceiling,145,145,11,145,11,134,0,134,0,46.400000000000006,False
1000000000000000000,C_odd_square,S1_first_visible_before_ceiling,145,145,10,145,69,76,76,0,0,69.6,False
1000000000000000000,C_odd_square,S2_last_visible_before_ceiling,145,145,10,145,10,135,0,135,0,46.0,False
1000000000000000000,C_odd_square,S3_first_visible_after_ceiling,145,145,10,0,0,0,0,0,145,42.0,False
1000000000000000000,C_odd_square,S4_visible_whose_successor_crosses_ceiling,145,145,10,145,10,135,0,135,0,46.0,False
1000000000000000000,C_open_square,S1_first_visible_before_ceiling,145,145,10,145,69,76,76,0,0,69.6,False
1000000000000000000,C_open_square,S2_last_visible_before_ceiling,145,145,10,145,10,135,0,135,0,46.0,False
1000000000000000000,C_open_square,S3_first_visible_after_ceiling,145,145,10,0,0,0,0,0,145,42.0,False
1000000000000000000,C_open_square,S4_visible_whose_successor_crosses_ceiling,145,145,10,145,10,135,0,135,0,46.0,False
