scale,rule_id,shadow_seed_rows,top1_selected,top1_correct,top1_recall,would_convert_shadow_recovery_to_pgs,would_create_audit_failures,projected_pgs_percent,promotion_eligible
1000000000000000,R1_first_wheel_open_not_visibly_closed,141,141,76,0.5390070921985816,76,65,73.89558232931726,False
1000000000000000,R2_first_chamber_closed_prefix,141,141,76,0.5390070921985816,76,65,73.89558232931726,False
1000000000000000,R3_first_visible_open_chain_node,141,141,76,0.5390070921985816,76,65,73.89558232931726,False
1000000000000000,R4_low_scale_residue_signature,141,141,76,0.5390070921985816,76,65,73.89558232931726,False
1000000000000000,R5_low_scale_prefix_signature,141,3,3,0.02127659574468085,3,0,44.57831325301205,False
1000000000000000,R6_low_scale_carrier_delta,141,141,76,0.5390070921985816,76,65,73.89558232931726,False
1000000000000000,R7_next_visible_gap_exceeds_prefix_median,141,19,0,0.0,0,19,43.373493975903614,False
1000000000000000000,R1_first_wheel_open_not_visibly_closed,145,145,69,0.47586206896551725,69,76,69.6,False
1000000000000000000,R2_first_chamber_closed_prefix,145,145,69,0.47586206896551725,69,76,69.6,False
1000000000000000000,R3_first_visible_open_chain_node,145,145,69,0.47586206896551725,69,76,69.6,False
1000000000000000000,R4_low_scale_residue_signature,145,145,69,0.47586206896551725,69,76,69.6,False
1000000000000000000,R5_low_scale_prefix_signature,145,3,3,0.020689655172413793,3,0,43.2,False
1000000000000000000,R6_low_scale_carrier_delta,145,145,69,0.47586206896551725,69,76,69.6,False
1000000000000000000,R7_next_visible_gap_exceeds_prefix_median,145,28,0,0.0,0,28,42.0,False
