dataset,row_filter,rows_checked,required_object,aliases,present_count,present_percent,example_present_alias
simple_pgs_shadow_seed_gwr_solution_1e5,PGS,9588,chamber_state,chamber_state|S,0,0.0,
simple_pgs_shadow_seed_gwr_solution_1e5,PGS,9588,gap_signature,gap_signature|gs,0,0.0,
simple_pgs_shadow_seed_gwr_solution_1e5,PGS,9588,pressure_vector,pressure_vector,0,0.0,
simple_pgs_shadow_seed_gwr_solution_1e5,PGS,9588,visible_closure_data,visible_closure_data|V,0,0.0,
simple_pgs_shadow_seed_gwr_solution_1e5,PGS,9588,terminal_pattern,terminal_pattern|T,0,0.0,
simple_pgs_shadow_seed_gwr_solution_1e6,PGS,78494,chamber_state,chamber_state|S,0,0.0,
simple_pgs_shadow_seed_gwr_solution_1e6,PGS,78494,gap_signature,gap_signature|gs,0,0.0,
simple_pgs_shadow_seed_gwr_solution_1e6,PGS,78494,pressure_vector,pressure_vector,0,0.0,
simple_pgs_shadow_seed_gwr_solution_1e6,PGS,78494,visible_closure_data,visible_closure_data|V,0,0.0,
simple_pgs_shadow_seed_gwr_solution_1e6,PGS,78494,terminal_pattern,terminal_pattern|T,0,0.0,
simple_pgs_shadow_seed_gwr_solution_probe,shadow_seed_recovery,388,chamber_state,chamber_state|S,0,0.0,
simple_pgs_shadow_seed_gwr_solution_probe,shadow_seed_recovery,388,gap_signature,gap_signature|gs,0,0.0,
simple_pgs_shadow_seed_gwr_solution_probe,shadow_seed_recovery,388,pressure_vector,pressure_vector,0,0.0,
simple_pgs_shadow_seed_gwr_solution_probe,shadow_seed_recovery,388,visible_closure_data,visible_closure_data|V,0,0.0,
simple_pgs_shadow_seed_gwr_solution_probe,shadow_seed_recovery,388,terminal_pattern,terminal_pattern|T,0,0.0,
