scale,rule_id,shadow_seed_rows,top1_selected,top1_correct,top1_recall,would_convert_shadow_recovery_to_pgs,would_create_audit_failures,projected_pgs_percent,promotion_eligible,failure_mode_selected_too_early,failure_mode_selected_too_late,failure_mode_no_selection
1000000000000,B0_first_visible_open_baseline,102,102,60,0.5882352941176471,60,42,83.399209486166,False,42,0,0
1000000000000,B1_first_prior_right_closed_mod30,102,102,24,0.23529411764705882,24,78,69.1699604743083,False,18,60,0
1000000000000,B2_min_right_defect_mod30,102,102,24,0.23529411764705882,24,78,69.1699604743083,False,18,60,0
1000000000000,B3_first_two_sided_closed_mod30,102,102,24,0.23529411764705882,24,78,69.1699604743083,False,18,60,0
1000000000000,B4_first_prior_right_closed_mod210,102,102,24,0.23529411764705882,24,78,69.1699604743083,False,18,60,0
1000000000000,B5_min_right_defect_mod210,102,102,24,0.23529411764705882,24,78,69.1699604743083,False,18,60,0
1000000000000,B6_first_two_sided_closed_mod210,102,102,24,0.23529411764705882,24,78,69.1699604743083,False,18,60,0
1000000000000000,B0_first_visible_open_baseline,141,141,76,0.5390070921985816,76,65,73.89558232931726,False,65,0,0
1000000000000000,B1_first_prior_right_closed_mod30,141,141,32,0.22695035460992907,32,109,56.22489959839358,False,33,76,0
1000000000000000,B2_min_right_defect_mod30,141,141,32,0.22695035460992907,32,109,56.22489959839358,False,33,76,0
1000000000000000,B3_first_two_sided_closed_mod30,141,141,32,0.22695035460992907,32,109,56.22489959839358,False,33,76,0
1000000000000000,B4_first_prior_right_closed_mod210,141,141,32,0.22695035460992907,32,109,56.22489959839358,False,33,76,0
1000000000000000,B5_min_right_defect_mod210,141,141,32,0.22695035460992907,32,109,56.22489959839358,False,33,76,0
1000000000000000,B6_first_two_sided_closed_mod210,141,141,32,0.22695035460992907,32,109,56.22489959839358,False,33,76,0
1000000000000000000,B0_first_visible_open_baseline,145,145,69,0.47586206896551725,69,76,69.6,False,76,0,0
1000000000000000000,B1_first_prior_right_closed_mod30,145,144,29,0.2,29,115,53.6,False,47,68,1
1000000000000000000,B2_min_right_defect_mod30,145,144,29,0.2,29,115,53.6,False,47,68,1
1000000000000000000,B3_first_two_sided_closed_mod30,145,144,29,0.2,29,115,53.6,False,47,68,1
1000000000000000000,B4_first_prior_right_closed_mod210,145,144,29,0.2,29,115,53.6,False,47,68,1
1000000000000000000,B5_min_right_defect_mod210,145,144,29,0.2,29,115,53.6,False,47,68,1
1000000000000000000,B6_first_two_sided_closed_mod210,145,144,29,0.2,29,115,53.6,False,47,68,1
